Query,SV,EmbeddingsSVRank,BelowThresholdSVRank,Exception,EmptyResult,DemoteSV,BelowThresholdDemoteSV,FineTuningPairs
the amount of renewable energy consumed each year,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,0,-1,,,,,
the yearly consumption of renewable energy,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,0,-1,,,,,
the annual use of renewable energy,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,0,-1,,,,,
the percentage of government spending on education,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,0,-1,,,,,
the proportion of government expenditure on education,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,0,-1,,,,,
the amount of government money spent on education as a percentage of total government spending,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,0,-1,,,,,
the percentage of the united states' gdp that is spent on education,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
the amount of money that the united states spends on education as a percentage of its gdp,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
the percentage of the united states' economy that is devoted to education,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
how much money does the average person in the united states spend on healthcare?,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,0,-1,,,,,
what is the average healthcare expenditure per person in the united states?,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,0,-1,,,,,
what is the average amount of money that a person in the united states spends on healthcare?,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,0,-1,,,,,
the amount of money that the government spends on the military,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,0,-1,,,,,
the cost of the military to the government,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,0,-1,,,,,
the budget for the military,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,0,-1,,,,,
the percentage of the total government budget spent on the military,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
the amount of money the government spends on the military as a percentage of its total budget,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
the proportion of government spending that goes to the military,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
the percentage of government spending on tertiary education in the united states,Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,0,-1,,,,,
the amount of money the us government spends on tertiary education as a percentage of its total budget,Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,0,-1,,,,,
the proportion of the us government's budget that goes towards tertiary education,Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,0,-1,,,,,
the economic output of the accommodation and food services industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,0,-1,,,,,
the total value of goods and services produced by the accommodation and food services industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,0,-1,,,,,
the total income generated by the accommodation and food services industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,0,-1,,,,,
the economic output of the administrative and support and waste management services industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,0,-1,,,,,
the total value of goods and services produced by the administrative and support and waste management services industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,0,-1,,,,,
the size of the administrative and support and waste management services industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,1,-1,,,,Count_Establishment_NAICSAdministrativeSupportWasteManagementRemediationServices,"# Count_Establishment_NAICSAdministrativeSupportWasteManagementRemediationServices -> Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue
the size of the administrative and support and waste management services industry,Amount of economic activity in the administrative and support and waste management services industry,0.9812
the size of the administrative and support and waste management services industry,Gross Domestic Product (GDP) of the Administrative and Support and Waste Management Services Industry,0.9812
the size of the administrative and support and waste management services industry,Gross Domestic Product (GDP) of the administrative and support and waste management services industry,0.9812
the size of the administrative and support and waste management services industry,The Administrative and Support and Waste Management Services Industry's contribution to GDP,0.9812
the size of the administrative and support and waste management services industry,The Administrative and Support and Waste Management Services Industry's economic output,0.9812
the size of the administrative and support and waste management services industry,The Administrative and Support and Waste Management Services Industry's share of GDP,0.9812
the size of the administrative and support and waste management services industry,The GDP contribution of the administrative and support and waste management field,0.9812
the size of the administrative and support and waste management services industry,The size of the Administrative and Support and Waste Management Services Industry's GDP,0.9812
the size of the administrative and support and waste management services industry,The value of the Administrative and Support and Waste Management Services Industry's GDP,0.9812
the size of the administrative and support and waste management services industry,Value generated by the administrative and waste management services industry,0.9812
the size of the administrative and support and waste management services industry,the economic output of the administrative and support and waste management services industry,0.9812
the size of the administrative and support and waste management services industry,the market value of all final goods and services produced by the administrative and support and waste management services industry within a given time period,0.9812
the size of the administrative and support and waste management services industry,the total value of goods and services produced by the administrative and support and waste management services industry,0.9812"
"the economic output of the agriculture, forestry, fishing, and hunting industry",Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,0,-1,,,,,
"the total value of goods and services produced by the agriculture, forestry, fishing, and hunting industry",Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,0,-1,,,,,
"the amount of money generated by the agriculture, forestry, fishing, and hunting industry",Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,0,-1,,,,,
"the economic output of the arts, entertainment, and recreation industry",Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,0,-1,,,,,
"the total value of goods and services produced by the arts, entertainment, and recreation industry",Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,0,-1,,,,,
"the size of the arts, entertainment, and recreation industry's economy",Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,0,-1,,,,,
the economic output of the construction industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,0,-1,,,,,
the value of goods and services produced by the construction industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,0,-1,,,,,
the size of the construction industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,3,-1,,,,Count_Worker_NAICSConstruction,"# Count_Worker_NAICSConstruction -> Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue
the size of the construction industry,Amount of economic activity in the construction industry,0.9077999999999999
the size of the construction industry,Economic output of the construction sector,0.9077999999999999
the size of the construction industry,Gross Domestic Product (GDP) of the Construction Industry,0.9077999999999999
the size of the construction industry,Gross Domestic Product (GDP) of the construction industry,0.9077999999999999
the size of the construction industry,How much the construction sector contributes to the GDP.,0.9077999999999999
the size of the construction industry,The GDP contribution of the construction field,0.9077999999999999
the size of the construction industry,The GDP of the construction industry,0.9077999999999999
the size of the construction industry,The economic output of the construction industry,0.9077999999999999
the size of the construction industry,The total value of goods and services produced by the construction industry,0.9077999999999999
the size of the construction industry,Value generated by the construction industry,0.9077999999999999
the size of the construction industry,the economic output of the construction industry,0.9077999999999999
the size of the construction industry,the total economic output of the construction industry,0.9077999999999999
the size of the construction industry,the total value of goods and services produced by the construction industry,0.9077999999999999
the size of the construction industry,the value of the construction industry,0.9077999999999999"
the total value of goods and services produced by the educational services industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,0,-1,,,,,
the total economic output of the educational services industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,0,-1,,,,,
the total amount of money generated by the educational services industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,1,-1,,,,WagesTotal_Worker_NAICSEducationalServices,"# WagesTotal_Worker_NAICSEducationalServices -> Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue
the total amount of money generated by the educational services industry in the united states,Amount of economic activity in the educational services industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,Economic output of the educational services sector,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,Gross Domestic Product (GDP) of the Educational Services Industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,Gross Domestic Product (GDP) of the educational services industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,How much the educational services sector contributes to the GDP.,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,The GDP contribution of the educational services field,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,The economic output of the educational services industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,The total value of goods and services produced by the educational services industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,Value generated by the educational services industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,the contribution of the educational services industry to the economy,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,the economic output of the educational services industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,the economic value of the educational services industry,0.9611999999999999
the total amount of money generated by the educational services industry in the united states,the total value of goods and services produced by the educational services industry,0.9611999999999999"
the size of the finance and insurance industry's economy,Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,0,-1,,,,,
the finance and insurance industry's contribution to the economy,Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,0,-1,,,,,
the finance and insurance industry's economic output,Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,0,-1,,,,,
the total value of goods and services produced by the health care and social assistance industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,0,-1,,,,,
the amount of money generated by the health care and social assistance industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,0,-1,,,,,
the economic output of the health care and social assistance industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,0,-1,,,,,
the size of the information industry's economy,Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,0,-1,,,,,
the value of the information industry's output,Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,0,-1,,,,,
the amount of money generated by the information industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,0,-1,,,,,
the total economic output of the management of companies and enterprises in the us,Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,0,-1,,,,,
the total economic activity of the management of companies and enterprises in the us,Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,0,-1,,,,,
the total economic value created by the management of companies and enterprises in the us,Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,0,-1,,,,,
"the total value of all goods and services produced by the mining, quarrying, and oil and gas extraction industry in a given year",Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,0,-1,,,,,
"the economic output of the mining, quarrying, and oil and gas extraction industry",Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,0,-1,,,,,
"the size of the mining, quarrying, and oil and gas extraction industry's economy",Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,0,-1,,,,,
the total economic output of the united states excluding the public sector,Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,2,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_Nominal,"# Amount_EconomicActivity_GrossDomesticProduction_Nominal -> Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue
the total economic output of the united states excluding the public sector,Amount of Economic Activity (Real Value): Gross Domestic Production, Other Services, Except Public Administration (NAICS/81),0.9062
the total economic output of the united states excluding the public sector,Amount of economic activity in other services, except public administration industry,0.9062
the total economic output of the united states excluding the public sector,Gross Domestic Product (GDP) of Other Services, Except Public Administration Industry,0.9062
the total economic output of the united states excluding the public sector,Gross Domestic Product (GDP) of other services, except public administration industry,0.9062
the total economic output of the united states excluding the public sector,How much the other services sector except public administration contributes to the GDP.,0.9062"
the total economic output of the us excluding government services,Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,2,-1,,,,USStateQuarterlyIndustryGDP_NAICS_81,"# USStateQuarterlyIndustryGDP_NAICS_81 -> Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue
the total economic output of the us excluding government services,Amount of Economic Activity (Real Value): Gross Domestic Production, Other Services, Except Public Administration (NAICS/81),0.8936999999999999
the total economic output of the us excluding government services,Amount of economic activity in other services, except public administration industry,0.8936999999999999
the total economic output of the us excluding government services,Economic output of the other services sector,0.8936999999999999
the total economic output of the us excluding government services,GDP of non-government services,0.8936999999999999
the total economic output of the us excluding government services,GDP of services excluding public administration,0.8936999999999999
the total economic output of the us excluding government services,Gross Domestic Product (GDP) of Other Services, Except Public Administration Industry,0.8936999999999999
the total economic output of the us excluding government services,Gross Domestic Product (GDP) of other services, except public administration industry,0.8936999999999999
the total economic output of the us excluding government services,How much the other services sector except public administration contributes to the GDP.,0.8936999999999999
the total economic output of the us excluding government services,gdp of other non-governmental services,0.8936999999999999
the total economic output of the us excluding government services,gdp of other services, excluding public administration,0.8936999999999999"
"gdp of other services, excluding public administration",Amount_EconomicActivity_GrossDomesticProduction_NAICSOtherServices_RealValue,0,-1,,,,,
"the total value of goods and services produced by the professional, scientific, and technical services industry in the united states",Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,0,-1,,,,,
"the economic output of the professional, scientific, and technical services industry in the united states",Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,0,-1,,,,,
"the market value of all final goods and services produced by the professional, scientific, and technical services industry in the united states",Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,0,-1,,,,,
the total value of goods and services produced by the real estate and rental and leasing industry in a given year,Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,0,-1,,,,,
the size of the real estate and rental and leasing industry's economy,Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,0,-1,,,,,
the amount of money that the real estate and rental and leasing industry contributes to the overall economy,Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,0,-1,,,,,
the economic output of the utilities industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,0,-1,,,,,
the value of goods and services produced by the utilities industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,0,-1,,,,,
the total market value of the utilities industry,Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,0,-1,,,,,
the total value of goods and services sold by wholesale businesses in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,0,-1,,,,,
the total economic output of the wholesale trade industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,0,-1,,,,,
the total amount of money generated by the wholesale trade industry in the united states,Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,0,-1,,,,,
the total economic output of the us in a given year,Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
the total output of goods and services produced in the us in a year,Amount_EconomicActivity_GrossDomesticProduction_Nominal,3,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,"# Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue -> Amount_EconomicActivity_GrossDomesticProduction_Nominal
the total output of goods and services produced in the us in a year,1 the total market value of all final goods and services produced within a country's borders in a specific time period, usually a year,0.909
the total output of goods and services produced in the us in a year,Nominal gross domestic production,0.909
the total output of goods and services produced in the us in a year,Nominal value of domestic goods and services,0.909
the total output of goods and services produced in the us in a year,Total nominal domestic economic output,0.909
the total output of goods and services produced in the us in a year,Total nominal domestic production,0.909"
the total economic output of the us in a year,Amount_EconomicActivity_GrossDomesticProduction_Nominal,0,-1,,,,,
gdp per capita in the united states,Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,6,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,"# Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita -> Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person
gdp per capita in the united states,Amount of Economic Activity (Nominal): Gross Domestic Production (Per Capita),1.0175
gdp per capita in the united states,Nominal Gross Domestic Production in Population,1.0175"
the economic output of the united states per person,Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,7,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,"# Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita -> Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person
the economic output of the united states per person,Nominal Gross Domestic Production in Population,0.9055"
gdp per capita in the united states,Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person,6,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,"# Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita -> Amount_EconomicActivity_GrossDomesticProduction_Nominal_AsAFractionOf_Count_Person
gdp per capita in the united states,Amount of Economic Activity (Nominal): Gross Domestic Production (Per Capita),1.0175
gdp per capita in the united states,Nominal Gross Domestic Production in Population,1.0175"
gdp per capita,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,0,-1,,,,,
gdp per person,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,0,-1,,,,,
gdp per head,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,0,-1,,,,,
the total economic output of the united states,Amount_EconomicActivity_GrossDomesticProduction_RealValue,1,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_Nominal,"# Amount_EconomicActivity_GrossDomesticProduction_Nominal -> Amount_EconomicActivity_GrossDomesticProduction_RealValue
the total economic output of the united states,Amount of Economic Activity (Real Value): Gross Domestic Production,0.9374
the total economic output of the united states,Gross Domestic Production,0.9374"
the total value of all the goods and services produced in a country in a year,Amount_EconomicActivity_GrossDomesticProduction_RealValue,-1,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,
the total output of a country's economy,Amount_EconomicActivity_GrossDomesticProduction_RealValue,5,-1,,,,dc/topic/Economy,"# dc/topic/Economy -> Amount_EconomicActivity_GrossDomesticProduction_RealValue
the total output of a country's economy,Amount of Economic Activity (Real Value): Gross Domestic Production,0.9189999999999999
the total output of a country's economy,Gross Domestic Production,0.9189999999999999"
gross national income based on purchasing power parity,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,0,-1,,,,,
gni per capita based on purchasing power parity,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,1,-1,,,,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,"# Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita -> Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity
gni per capita based on purchasing power parity,Gross National Income (PPP),1.0909
gni per capita based on purchasing power parity,Gross National Income Based on Purchasing Power Parity,1.0909
gni per capita based on purchasing power parity,Gross National Income at purchasing power parity,1.0909
gni per capita based on purchasing power parity,Gross National Income based on purchasing power parity,1.0909
gni per capita based on purchasing power parity,Gross national income based on purchasing power parity,1.0909
gni per capita based on purchasing power parity,Purchasing power parity (PPP) gross national income (GNI),1.0909
gni per capita based on purchasing power parity,gross national income (gni) based on purchasing power parity (ppp),1.0909
gni per capita based on purchasing power parity,gross national income based on purchasing power parity,1.0909
gni per capita based on purchasing power parity,gross national income per person, purchasing power parity,1.0909"
gross national income per capita based on purchasing power parity,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,1,-1,,,,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,"# Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita -> Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity
gross national income per capita based on purchasing power parity,Gross National Income (PPP),1.0865
gross national income per capita based on purchasing power parity,Gross National Income Based on Purchasing Power Parity,1.0865
gross national income per capita based on purchasing power parity,Gross National Income at purchasing power parity,1.0865
gross national income per capita based on purchasing power parity,Gross National Income based on purchasing power parity,1.0865
gross national income per capita based on purchasing power parity,Gross national income based on purchasing power parity,1.0865
gross national income per capita based on purchasing power parity,Purchasing power parity (PPP) gross national income (GNI),1.0865
gross national income per capita based on purchasing power parity,gross national income (gni) based on purchasing power parity (ppp),1.0865
gross national income per capita based on purchasing power parity,gross national income based on purchasing power parity,1.0865
gross national income per capita based on purchasing power parity,gross national income per person, purchasing power parity,1.0865"
per capita gross national income based on purchasing power parity,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,0,-1,,,,,
gross national income per capita based on purchasing power parity,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,0,-1,,,,,
gross national income per person based on purchasing power parity,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,1,-1,,,,Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,"# Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity -> Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita
gross national income per person based on purchasing power parity,GNI per capita based on purchasing power parity,1.0776000000000001
gross national income per person based on purchasing power parity,GNI per capita based on purchasing power parity (PPP) in international dollars,1.0776000000000001
gross national income per person based on purchasing power parity,Gross National Income Based on Purchasing Power Parity Per Capita,1.0776000000000001
gross national income per person based on purchasing power parity,Gross National Income per capita based on purchasing power parity,1.0776000000000001
gross national income per person based on purchasing power parity,Gross national income based on purchasing power parity per person,1.0776000000000001
gross national income per person based on purchasing power parity,gni per capita based on purchasing power parity,1.0776000000000001
gross national income per person based on purchasing power parity,gni per capita, purchasing power parity,1.0776000000000001
gross national income per person based on purchasing power parity,gross national income per capita, ppp,1.0776000000000001"
"the value of goods and services produced by the agriculture, hunting, forestry, and fishing industries",Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,1,-1,,,,Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,"# Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue -> Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue
the value of goods and services produced by the agriculture, hunting, forestry, and fishing industries,Amount of Economic Activity (Real Value): Gross Value Added, Agriculture, Hunting, Forestry, Fishing,1.0176
the value of goods and services produced by the agriculture, hunting, forestry, and fishing industries,Gross Value Added in Agriculture Hunting and Forestry Fishing Industry,1.0176
the value of goods and services produced by the agriculture, hunting, forestry, and fishing industries,the real value of economic activity in agriculture, hunting, forestry, and fishing,1.0176
the value of goods and services produced by the agriculture, hunting, forestry, and fishing industries,the real value of economic activity in the agricultural, hunting, forestry, and fishing industries,1.0176
the value of goods and services produced by the agriculture, hunting, forestry, and fishing industries,the real value of economic activity in the agricultural, hunting, forestry, and fishing sectors,1.0176"
